,index,month,year,center_name,wholesale,retail,total_arrival,culture,type
0,0,January,2013,AHMEDABAD,1280,1805,8630,onion,onion
1,1,January,2013,AMRITSAR,1485,2104,3500,onion,onion
2,2,January,2013,BANGALURU,1658,2183,22100,onion,onion
3,3,January,2013,BARAUT,1430,1896,43,onion,onion
4,4,January,2013,BHOPAL,796,1056,1475,onion,onion
5,5,January,2013,BHUBANESHWAR,1714,2050,5750,onion,onion
6,6,January,2013,CHANDIGARH,1409,2196,1703,onion,onion
7,7,January,2013,CHENNAI,1959,2545,11670,onion,onion
8,8,January,2013,DEHRADUN,1809,2432,620,onion,onion
9,9,January,2013,DELHI,1522,2180,26233,onion,onion
10,10,January,2013,GANGATOK,2256,2840,98,onion,onion
11,11,January,2013,GUWAHATI,1786,2369,3430,onion,onion
12,12,January,2013,HYDERABAD,1235,1718,2642,onion,onion
13,13,January,2013,JAIPUR,1172,1838,6144,onion,onion
14,14,January,2013,JAMMU,1675,2183,1935,onion,onion
15,15,January,2013,KOLKATA ,1840,2571,30182,onion,onion
16,16,January,2013,LASALGAON,1341,1610,3540,onion,onion
17,17,January,2013,LUCKNOW,1134,1718,474,onion,onion
18,18,January,2013,MUMBAI,1480,2104,25713,onion,onion
19,19,January,2013,NAGPUR,1213,1500,6890,onion,onion
20,20,January,2013,NASIK,1405,1683,2775,onion,onion
21,21,January,2013,PATNA,1701,2212,1591,onion,onion
22,22,January,2013,PIMPALGAON,1357,1607,3750,onion,onion
23,23,January,2013,PUNE ,1435,1801,15164,onion,onion
24,24,January,2013,RAIPUR,1464,2105,855,onion,onion
25,25,January,2013,RANCHI,1687,2172,5870,onion,onion
26,26,January,2013,SHIMLA,1909,2317,299,onion,onion
27,27,January,2013,SRINAGAR ,1558,2071,3350,onion,onion
28,28,January,2013,TRIVENDRUM,1924,2603,585,onion,onion
29,29,February,2013,AHMEDABAD,1301,1975,14417,onion,onion
30,30,February,2013,AMRITSAR,1455,2150,2825,onion,onion
31,31,February,2013,BANGALURU,1770,2464,19725,onion,onion
32,32,February,2013,BARAUT,1892,2421,50,onion,onion
33,33,February,2013,BHOPAL,1790,2229,1366,onion,onion
34,34,February,2013,BHUBANESHWAR,2189,2572,4575,onion,onion
35,35,February,2013,CHANDIGARH,1834,2579,1401,onion,onion
36,36,February,2013,CHENNAI,2044,2876,13110,onion,onion
37,37,February,2013,DEHRADUN,1949,2886,605,onion,onion
38,38,February,2013,DELHI,1587,2617,22738,onion,onion
39,39,February,2013,GANGATOK,2998,3804,61,onion,onion
40,40,February,2013,GUWAHATI,2321,2888,1697,onion,onion
41,41,February,2013,HYDERABAD,1976,2905,5962,onion,onion
42,42,February,2013,JAIPUR,1535,2564,5999,onion,onion
43,43,February,2013,JAMMU,1838,2513,2191,onion,onion
44,44,February,2013,KOLKATA ,2010,2800,28405,onion,onion
45,45,February,2013,LASALGAON,1995,2350,2805,onion,onion
46,46,February,2013,LUCKNOW,2156,2654,572,onion,onion
47,47,February,2013,MUMBAI,1503,2382,21265,onion,onion
48,48,February,2013,NAGPUR,1398,2035,5730,onion,onion
49,49,February,2013,NASIK,2008,2367,2416,onion,onion
50,50,February,2013,PATNA,1980,2743,1825,onion,onion
51,51,February,2013,PIMPALGAON,2044,2394,2711,onion,onion
52,52,February,2013,PUNE ,1413,1746,14005,onion,onion
53,53,February,2013,RAIPUR,1754,2541,976,onion,onion
54,54,February,2013,RANCHI,2175,2688,3825,onion,onion
55,55,February,2013,SHIMLA,2167,2761,303,onion,onion
56,56,February,2013,SRINAGAR ,1722,2356,2210,onion,onion
57,57,February,2013,TRIVENDRUM,2105,2887,600,onion,onion
58,58,March,2013,AHMEDABAD,958,1505,12995,onion,onion
59,59,March,2013,AMRITSAR,1208,1821,2895,onion,onion
60,60,March,2013,BANGALURU,1250,1800,21900,onion,onion
61,61,March,2013,BARAUT,1429,1879,61,onion,onion
62,62,March,2013,BHOPAL,1202,1513,998,onion,onion
63,63,March,2013,BHUBANESHWAR,1526,1868,6625,onion,onion
64,64,March,2013,CHANDIGARH,1429,2152,1217,onion,onion
65,65,March,2013,CHENNAI,1513,2187,12740,onion,onion
66,66,March,2013,DEHRADUN,1587,2290,701,onion,onion
67,67,March,2013,DELHI,1191,2146,26812,onion,onion
68,68,March,2013,GANGATOK,2888,3829,58,onion,onion
69,69,March,2013,GUWAHATI,1471,2044,3660,onion,onion
70,70,March,2013,HYDERABAD,1448,2223,8046,onion,onion
71,71,March,2013,JAIPUR,1090,1863,7721,onion,onion
72,72,March,2013,JAMMU,1454,1975,1971,onion,onion
73,73,March,2013,KOLKATA ,1260,1996,19517,onion,onion
74,74,March,2013,LASALGAON,915,1166,5105,onion,onion
75,75,March,2013,LUCKNOW,1328,1729,692,onion,onion
76,76,March,2013,MUMBAI,1039,1717,22590,onion,onion
77,77,March,2013,NAGPUR,1438,1960,5680,onion,onion
78,78,March,2013,NASIK,960,1261,4110,onion,onion
79,79,March,2013,PATNA,1309,1857,1895,onion,onion
80,80,March,2013,PIMPALGAON,968,1211,4387,onion,onion
81,81,March,2013,PUNE ,1108,1429,14724,onion,onion
82,82,March,2013,RAIPUR,1103,2000,1075,onion,onion
83,83,March,2013,RANCHI,1354,1696,4990,onion,onion
84,84,March,2013,SHIMLA,1635,2208,372,onion,onion
85,85,March,2013,SRINAGAR ,1860,2455,3260,onion,onion
86,86,March,2013,TRIVENDRUM,1711,2153,735,onion,onion
87,87,April,2013,AHMEDABAD,834,1277,15383,onion,onion
88,88,April,2013,AMRITSAR,1147,1774,3000,onion,onion
89,89,April,2013,BANGALURU,1087,1596,28095,onion,onion
90,90,April,2013,BARAUT,1492,1958,39,onion,onion
91,91,April,2013,BHOPAL,835,1073,2301,onion,onion
92,92,April,2013,BHUBANESHWAR,1278,1731,6100,onion,onion
93,93,April,2013,CHANDIGARH,1246,2014,1415,onion,onion
94,94,April,2013,CHENNAI,1410,2042,11990,onion,onion
95,95,April,2013,DEHRADUN,1354,2000,702,onion,onion
96,96,April,2013,DELHI,1054,1975,27271,onion,onion
97,97,April,2013,GANGATOK,2800,3800,80,onion,onion
98,98,April,2013,GUWAHATI,1303,2429,4120,onion,onion
99,99,April,2013,HYDERABAD,1248,2000,10292,onion,onion
100,100,April,2013,JAIPUR,1030,1745,6238,onion,onion
101,101,April,2013,JAMMU,1543,2004,2979,onion,onion
102,102,April,2013,KOLKATA ,1111,1679,13488,onion,onion
103,103,April,2013,LASALGAON,778,1028,5233,onion,onion
104,104,April,2013,LUCKNOW,1145,1661,575,onion,onion
105,105,April,2013,MUMBAI,976,1500,20049,onion,onion
106,106,April,2013,NAGPUR,1197,1557,4040,onion,onion
107,107,April,2013,NASIK,805,1054,4675,onion,onion
108,108,April,2013,PATNA,1191,1725,1665,onion,onion
109,109,April,2013,PIMPALGAON,788,1047,5006,onion,onion
110,110,April,2013,PUNE ,1130,1585,18159,onion,onion
111,111,April,2013,RAIPUR,965,1674,1240,onion,onion
112,112,April,2013,RANCHI,1250,1517,4963,onion,onion
113,113,April,2013,SHIMLA,1688,2104,335,onion,onion
114,114,April,2013,SRINAGAR ,1820,2254,3960,onion,onion
115,115,April,2013,TRIVENDRUM,1603,2109,910,onion,onion
116,116,May,2013,AHMEDABAD,719,1205,14114,onion,onion
117,117,May,2013,AMRITSAR,1017,1488,4000,onion,onion
118,118,May,2013,BANGALURU,1196,2325,19830,onion,onion
119,119,May,2013,BARAUT,1396,1781,66,onion,onion
120,120,May,2013,BHOPAL,611,1130,3900,onion,onion
121,121,May,2013,BHUBANESHWAR,1159,1529,5430,onion,onion
122,122,May,2013,CHANDIGARH,997,1596,1730,onion,onion
123,123,May,2013,CHENNAI,1431,2000,14350,onion,onion
124,124,May,2013,DEHRADUN,1215,1746,746,onion,onion
125,125,May,2013,DELHI,903,1837,30832,onion,onion
126,126,May,2013,GANGATOK,1681,1915,91,onion,onion
127,127,May,2013,GUWAHATI,1401,2044,3570,onion,onion
128,128,May,2013,HYDERABAD,1256,1776,11776,onion,onion
129,129,May,2013,JAIPUR,930,1579,12442,onion,onion
130,130,May,2013,JAMMU,1271,1654,3022,onion,onion
131,131,May,2013,KOLKATA ,1176,1876,28292,onion,onion
132,132,May,2013,LASALGAON,923,1150,11750,onion,onion
133,133,May,2013,LUCKNOW,986,1463,928,onion,onion
134,134,May,2013,MUMBAI,961,1667,18805,onion,onion
135,135,May,2013,NAGPUR,840,1405,6490,onion,onion
136,136,May,2013,NASIK,926,1173,8105,onion,onion
137,137,May,2013,PATNA,1023,1792,1735,onion,onion
138,138,May,2013,PIMPALGAON,928,1166,9660,onion,onion
139,139,May,2013,PUNE ,1107,1436,20221,onion,onion
140,140,May,2013,RAIPUR,877,1545,1032,onion,onion
141,141,May,2013,RANCHI,931,1235,6565,onion,onion
142,142,May,2013,SHIMLA,1550,2000,409,onion,onion
143,143,May,2013,SRINAGAR ,1538,2000,4130,onion,onion
144,144,May,2013,TRIVENDRUM,1550,2168,905,onion,onion
145,145,June,2013,AHMEDABAD,1206,1696,12582,onion,onion
146,146,June,2013,AMRITSAR,1126,1927,3520,onion,onion
147,147,June,2013,BANGALURU,1673,2228,26826,onion,onion
148,148,June,2013,BARAUT,1350,1732,68,onion,onion
149,149,June,2013,BHOPAL,1014,1202,3823,onion,onion
150,150,June,2013,BHUBANESHWAR,1638,1960,4680,onion,onion
151,151,June,2013,CHANDIGARH,1341,1908,1762,onion,onion
152,152,June,2013,CHENNAI,1852,2416,11990,onion,onion
153,153,June,2013,DEHRADUN,1334,2139,650,onion,onion
154,154,June,2013,DELHI,1266,1912,26958,onion,onion
155,155,June,2013,GANGATOK,1376,1596,74,onion,onion
